PropertyKey|RealEstatePropertyCode|ProvalLrsnId|NeighborhoodNbr|PropertyStreetNbrNameText|SalesTypeCode|SalesTypeDsc|DeedBookNbr|DeedPageNbr|GranteeName|SaleAmt|SaleDate|LandRecordDocumentNbr|MaskOwnerAddressInd
23461|17041035|31417|412006|1011 ARLINGTON BLVD 229|||4141|1345|ARLAND LLC                          |289000|2007-10-11 00:00:00||False
23462|17041036|31418|412006|1011 ARLINGTON BLVD 301|5|5-Not Market Sale|1624|0099|ARLAND LLC                          |0|1966-01-01 00:00:00||False
23462|17041036|31418|412006|1011 ARLINGTON BLVD 301|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23462|17041036|31418|412006|1011 ARLINGTON BLVD 301|6|6-Quitclaim|4127|1210|ARLAND LLC                          |0|2007-08-15 00:00:00||False
23463|17041037|31419|412006|1011 ARLINGTON BLVD 302|F|F-Multiple RPCs Not Market Sal|2818|0262|ARLAND LLC                          |2755400|1996-12-20 00:00:00||False
23463|17041037|31419|412006|1011 ARLINGTON BLVD 302|5|5-Not Market Sale|2829|1675|ARLAND LLC                          |1860000|1997-04-30 00:00:00||False
23463|17041037|31419|412006|1011 ARLINGTON BLVD 302|||3051|2121|ARLAND LLC                          |33707|2000-04-14 00:00:00||False
23463|17041037|31419|412006|1011 ARLINGTON BLVD 302|6|6-Quitclaim|4127|1210|ARLAND LLC                          |0|2007-08-15 00:00:00||False
23464|17041038|31420|412006|1011 ARLINGTON BLVD 303|F|F-Multiple RPCs Not Market Sal|2818|0236|ARLAND LLC                          |959100|1996-12-20 00:00:00||False
23464|17041038|31420|412006|1011 ARLINGTON BLVD 303|5|5-Not Market Sale|2829|1675|ARLAND LLC                          |1860000|1997-04-30 00:00:00||False
23464|17041038|31420|412006|1011 ARLINGTON BLVD 303|||3051|2125|ARLAND LLC                          |36403|2000-04-14 00:00:00||False
23464|17041038|31420|412006|1011 ARLINGTON BLVD 303|6|6-Quitclaim|4127|1210|ARLAND LLC                          |0|2007-08-15 00:00:00||False
23465|17041039|31421|412006|1011 ARLINGTON BLVD 304|||2387|0743|ARLAND LLC|133000|1989-05-26 00:00:00||False
23465|17041039|31421|412006|1011 ARLINGTON BLVD 304|5|5-Not Market Sale|2755|2186|ARLAND LLC|0|1995-12-28 00:00:00||False
23465|17041039|31421|412006|1011 ARLINGTON BLVD 304|||3534|1865|ARLAND LLC|187000|2003-06-24 00:00:00||False
23465|17041039|31421|412006|1011 ARLINGTON BLVD 304|6|6-Quitclaim|4127|1210|ARLAND LLC|0|2007-08-15 00:00:00||False
23465|17041039|31421|412006|1011 ARLINGTON BLVD 304|O|O-Assignment of Lease|    |    |ARLAND LLC|230000|2019-04-12 00:00:00|20190100006218                  |False
23465|17041039|31421|412006|1011 ARLINGTON BLVD 304|O|O-Assignment of Lease|    |    |ARLAND LLC|227300|2021-02-12 00:00:00|20210100005542                  |False
23466|17041040|31422|412006|1011 ARLINGTON BLVD 305|5|5-Not Market Sale|1624|0099|ARLAND LLC                          |0|1966-01-01 00:00:00||False
23466|17041040|31422|412006|1011 ARLINGTON BLVD 305|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23466|17041040|31422|412006|1011 ARLINGTON BLVD 305|||3212|0462|ARLAND LLC                          |65000|2001-08-29 00:00:00||False
23466|17041040|31422|412006|1011 ARLINGTON BLVD 305|6|6-Quitclaim|4127|1210|ARLAND LLC                          |0|2007-08-15 00:00:00||False
23466|17041040|31422|412006|1011 ARLINGTON BLVD 305|O|O-Assignment of Lease|||ARLAND LLC|100000|2021-06-15 00:00:00|20210100021485                  |False
23467|17041041|31423|412006|1011 ARLINGTON BLVD 306|F|F-Multiple RPCs Not Market Sal|2818|0236|ARLAND LLC                          |959100|1996-12-20 00:00:00||False
23467|17041041|31423|412006|1011 ARLINGTON BLVD 306|5|5-Not Market Sale|2829|1675|ARLAND LLC                          |1860000|1997-04-30 00:00:00||False
23467|17041041|31423|412006|1011 ARLINGTON BLVD 306|||3051|2129|ARLAND LLC                          |53257|2000-04-14 00:00:00||False
23467|17041041|31423|412006|1011 ARLINGTON BLVD 306|6|6-Quitclaim|4127|1210|ARLAND LLC                          |0|2007-08-15 00:00:00||False
23468|17041042|31424|412006|1011 ARLINGTON BLVD 401|5|5-Not Market Sale|1624|0099|ARLAND LLC                          |0|1966-01-01 00:00:00||False
