PropertyKey|RealEstatePropertyCode|ProvalLrsnId|NeighborhoodNbr|PropertyStreetNbrNameText|SalesTypeCode|SalesTypeDsc|DeedBookNbr|DeedPageNbr|GranteeName|SaleAmt|SaleDate|LandRecordDocumentNbr|MaskOwnerAddressInd
23352|17040301|31271|412006|1111 ARLINGTON BLVD 801|5|5-Not Market Sale|2755|2186|ARLAND LLC|0|1995-12-28 00:00:00||False
23352|17040301|31271|412006|1111 ARLINGTON BLVD 801|||    |    |ARLAND LLC|132800|2025-06-26 00:00:00|20250100007959                  |False
23353|17040302|31272|412006|1111 ARLINGTON BLVD 802|5|5-Not Market Sale|1624|0099|ARLAND LLC|0|1966-01-01 00:00:00||False
23353|17040302|31272|412006|1111 ARLINGTON BLVD 802|5|5-Not Market Sale|2755|2186|ARLAND LLC|0|1995-12-28 00:00:00||False
23353|17040302|31272|412006|1111 ARLINGTON BLVD 802|O|O-Assignment of Lease|    |    |ARLAND LLC|121500|2023-03-31 00:00:00|20230100003167                  |False
53793|17040303|31273|412006|1111 ARLINGTON BLVD 803|5|5-Not Market Sale|1624|0099|ARLAND LLC                          |0|1966-01-01 00:00:00||False
53793|17040303|31273|412006|1111 ARLINGTON BLVD 803|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
53793|17040303|31273|412006|1111 ARLINGTON BLVD 803|||3436|2236|ARLAND LLC                          |75000|2002-12-22 00:00:00||False
23354|17040304|31274|412006|1111 ARLINGTON BLVD 804|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23354|17040304|31274|412006|1111 ARLINGTON BLVD 804|||2947|0036|ARLAND LLC                          |44000|1998-06-15 00:00:00||False
23354|17040304|31274|412006|1111 ARLINGTON BLVD 804|||3178|2077|ARLAND LLC                          |55000|2001-05-01 00:00:00||False
23354|17040304|31274|412006|1111 ARLINGTON BLVD 804|||3815|2015|ARLAND LLC                          |140000|2005-03-07 00:00:00||False
23354|17040304|31274|412006|1111 ARLINGTON BLVD 804|2|2-Sale or Gift to Relative|4166|1883|ARLAND LLC                          |0|2008-01-21 00:00:00||False
23354|17040304|31274|412006|1111 ARLINGTON BLVD 804|||4298|0985|ARLAND LLC                          |135000|2009-07-31 00:00:00||False
23354|17040304|31274|412006|1111 ARLINGTON BLVD 804|||4364|2473|ARLAND LLC                          |136000|2010-05-14 00:00:00||False
23355|17040305|31275|412006|1111 ARLINGTON BLVD 805|||2498|1899|ARLAND LLC                          |65000|1991-11-07 00:00:00||False
23355|17040305|31275|412006|1111 ARLINGTON BLVD 805|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23355|17040305|31275|412006|1111 ARLINGTON BLVD 805|||3835|0312|ARLAND LLC                          |272500|2005-04-29 00:00:00||False
23355|17040305|31275|412006|1111 ARLINGTON BLVD 805|||4150|1323|ARLAND LLC                          |255000|2007-11-14 00:00:00||False
23356|17040306|31276|412006|1111 ARLINGTON BLVD 806|||2412|0237|ARLAND LLC                          |81500|1989-11-21 00:00:00||False
23356|17040306|31276|412006|1111 ARLINGTON BLVD 806|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23356|17040306|31276|412006|1111 ARLINGTON BLVD 806|||3663|2251|ARLAND LLC                          |173000|2004-02-17 00:00:00||False
23356|17040306|31276|412006|1111 ARLINGTON BLVD 806|O|O-Assignment of Lease|    |    |ARLAND LLC                          |185000|2019-05-06 00:00:00|20190100007582                  |False
23356|17040306|31276|412006|1111 ARLINGTON BLVD 806|O|O-Assignment of Lease|||ARLAND LLC|235000|2023-08-01 00:00:00|20230100008903                  |False
23357|17040307|31277|412006|1111 ARLINGTON BLVD 807|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23357|17040307|31277|412006|1111 ARLINGTON BLVD 807|1|1-Foreclosure, Auction, Bankru|2790|1531|ARLAND LLC                          |41000|1996-08-14 00:00:00||False
23357|17040307|31277|412006|1111 ARLINGTON BLVD 807|7|7-Partial Interest|3808|2452|ARLAND LLC                          |99500|2004-12-22 00:00:00||False
23357|17040307|31277|412006|1111 ARLINGTON BLVD 807|||3970|2395|ARLAND LLC                          |259475|2006-04-14 00:00:00||False
23357|17040307|31277|412006|1111 ARLINGTON BLVD 807|O|O-Assignment of Lease|    |    |ARLAND LLC                          |131625|2018-06-08 00:00:00|20180100009794                  |False
23358|17040308|31278|412006|1111 ARLINGTON BLVD 808|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23358|17040308|31278|412006|1111 ARLINGTON BLVD 808|1|1-Foreclosure, Auction, Bankru|2817|0665|ARLAND LLC                          |40000|1997-02-18 00:00:00||False
23358|17040308|31278|412006|1111 ARLINGTON BLVD 808|7|7-Partial Interest|3808|2455|ARLAND LLC                          |99500|2004-12-22 00:00:00||False
23358|17040308|31278|412006|1111 ARLINGTON BLVD 808|||4070|0127|ARLAND LLC                          |199000|2007-01-09 00:00:00||False
23358|17040308|31278|412006|1111 ARLINGTON BLVD 808|O|O-Assignment of Lease|||ARLAND LLC|155000|2023-10-02 00:00:00|20230100011492                  |False
23359|17040309|31279|412006|1111 ARLINGTON BLVD 809|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
